College,Course,LO,Rubric,Description
AH,AH111,MoralStatus,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-MoralStatus,Analyze and explain philosophical accounts of the moral status of dierent entities; apply an account of the moral status of a being to an example.
AH,AH111,PowerCritique,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-PowerCritique,"Analyze and explain philosophical critiques of power relationships in terms of theories of alienation, structural oppression, regulation, and discipline."
AH,AH111,SocialCategories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-SocialCategories,"Analyze and evaluate philosophical concepts and issues arising from social dierences, including race, gender, ethnicity, and social equality."
AH,AH111,SustainabilityGoals,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-SustainabilityGoals,"Analyze and evaluate ethical problems related to sustainable development, including the justice of social and political institutions given their relationship to non-human animals and the environment."
AH,AH112,bodiestheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-bodiestheories,"Engage critically with ways in which art can reflect, construct, and contest social (and individual) perceptions of the body and identity."
AH,AH112,communitiestheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-communitiestheories,Engage critically with theories about art's construction of communities and traditions
AH,AH112,powertheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-powertheories,"Recognize and critique how art contests hegemonic power structures through interpersonal, communal, physical, and technological means."
AH,AH112,process,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-process,Deliver work products on time.
AH,AH112,qualitydeliverables,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-qualitydeliverables,"Submit work products with the scope, depth, and rigor appropriate to the project or setting."
AH,AH113,designagents,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH113-designagents,"Identify the human and non-human agents in the material and built worlds, the ways in which they have agency, and the mechanisms by which they influence design."
AH,AH113,coevolution,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH113-coevolution,"Describe, analyze, and evaluate the co-evolution between social, ecological, and built environment systems."
AH,AH113,designlogics,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH113-designlogics,Uncover and articulate the assumptions and belief systems informing and shaping design trends.
AH,AH113,designthinking,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH113-designthinking,Apply iterative design thinking to conceive and refine products or solutions.
AH,AH113,designforwhom,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH113-designforwhom,"Analyze and/or create processes to include the spoken and unspoken knowledge, needs, and desires of stakeholders relevant to a design process."
AH,AH142,historicalarguments,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historicalarguments,Craft and evaluate the historiographical contributions of arguments about the past.
AH,AH142,historicalnarrative,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historicalnarrative,"Craft, and analyze the elements of, compelling historical narratives."
AH,AH142,evidencebased,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-evidencebased,Identify and appropriately structure the information needed to support an argument eectively.
AH,AH142,historicizehistory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historicizehistory,"Historicize the intellectual influences and legacies of historical scholarship in its changing political, social, and cultural contexts."
AH,AH142,historylenses,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historylenses,Identify and evaluate the application of dierent theories and philosophies of history in the creation of interpretative arguments about the past.
AH,AH142,historicalsilences,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historicalsilences,"Evaluate how historical narratives ignore, uncover, recover, or provoke silences in the historical record."
AH,AH142,historyrepos,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historyrepos,Historicize the creation and critically analyze the benefits and limitations of standard and non-standard repositories of historical sources
AH,AH142,primarysources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-primarysources,"Locate, contextualize, and critically analyze historical evidence."
AH,AH142,professionalstandards,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-professionalstandards,"Deliver high-quality, substantial work products that meet the standards of the discipline."
AH,AH144,CaseAnalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-CaseAnalysis,"Effectively apply philosophical argument and theory to a concrete case or example, use an example to illustrate a theoretical point or devise/evaluate a thought experiment with an appropriate/insightful analogy"
AH,AH144,Challenges,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-Challenges,Anticipate and respond to challenges to philosophical claims or theories.
AH,AH144,DistinctionsDefinitions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-DistinctionsDefinitions,Analyze philosophical definitions of and distinctions between concepts using textual evidence; explain the function of definitions and distinctions for an argument.
AH,AH144,PhilContext,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-PhilContext,Use social and historical contextual information about a philosophical text or author to defend a complex or nuanced interpretive or critical claim.
AH,AH144,GoodLife,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-GoodLife,"Analyze and explain philosophical arguments concerning human nature and the good life, or what enables human happiness"
AH,AH144,MoralObligations,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-moralobligations,"Analyze and explain philosophical principles of moral action, duties, and obligations, or what we owe to ourselves and others."
AH,AH144,MoralStatus,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-moralstatus,Analyze and explain philosophical accounts of the moral status of dierent entities; apply an account of the moral status of a being to an example.
AH,AH144,RelationalEthics,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-relationalethics,"Analyze and evaluate unique roles played by membership and relationships with friends, families, and local communities in ethical theories."
AH,AH144,SustainabilityGoals,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-sustainabilitygoals,"Analyze and evaluate ethical problems related to sustainable development, including the justice of social and political institutions given their relationship to non-human animals and the environment."
AH,AH146,interpretingforms,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-interpretingforms,Critically examine and apply interpretive methods and theories of form.
AH,AH146,readingsigns,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-readingsigns,"Evaluate and historicize how signs, icons, and bodies appear and become meaningful in artworks."
AH,AH146,readingstructures,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-readingstructures,Evaluate and historicize how psychological forces and cultural discourses shape art and literature
AH,AH146,framingdisciplines,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-framingdisciplines,Evaluate and historicize boundaries among disciplines and between artworks and their audiences
AH,AH146,qualitydeliverables,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-qualitydeliverables,"Submit work products with the scope, depth, and rigor appropriate to the project or setting."
AH,AH152,criticalcasestudy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-criticalcasestudy,Assess the relationship between case studies and larger societal and historical patterns.
AH,AH152,historyscales,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-historyscales,"Apply, and evaluate the advantages and disadvantages of, dierent thematic, geographic, and temporal scales to conceptualize historical and contemporary phenomena."
AH,AH152,comparativeuses,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-comparativeuses,Identify use-cases for comparative approaches to the study of societies and history and assess the application of comparative analysis to particular topics.
AH,AH152,societyandhistorymethods,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-societyandhistorymethods,"Identify, assess, and apply dierent methods that social scientists use to compare societies and histories and analyze the impact of time and place."
AH,AH152,structureandagency,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-structureandagency,Analyze the role of and relationship between human agency and structural factors in historical contexts
AH,AH152,ideasandsociety,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-ideasandsociety,"Analyze and situate historically the connection between ideas and social, economic, cultural, and political practices."
AH,AH152,collectiveidentitiesinhistory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-collectiveidentitiesinhistory,"Historicize the sources, practices, and eects of dierent collective identities and assess theoretical approaches to the history of collective identities."
AH,AH152,historicalarguments,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-historicalarguments,"Craft, and evaluate the historiographical contributions of, arguments about the past."
AH,AH152,historicalsources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-historicalsources,"Assess the quality and determine the use-value of dierent types of primary sources for the study of societies and histories, ranging from traditional textual sources to non-traditional ones, such as participant observations and digital ethnographies."
AH,AH152,evidencebased,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-evidencebased,Identify and appropriately structure the information needed to support an argument eectively
AH,AH154,legalauthority,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-legalauthority,"Identify, analyze, and evaluate arguments regarding the nature of legal authority, and apply those arguments to contemporary social and legal problems."
AH,AH154,distinctionsdefinitions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-distinctionsdefinitions,Analyze and use distinctions between dierent concepts in analyzing ethical and political problems that arise in the law and philosophy of the law.
AH,AH154,caseanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-caseanalysis,"Analyze specific (hypothetical and real) legal cases, determine what legal and philosophical issues are raised by the case, and evaluate competing arguments regarding how the cases should be resolved."
AH,AH154,empiricalnormative,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-empiricalnormative,Clearly distinguish between empirical from normative claims; Analyze and evaluate the relationship between empirical and normative claims.
AH,AH154,domesticlaw,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-domesticlaw,"Analyze, evaluate, and develop arguments regarding domestic legal disputes and the reform of domestic law."
AH,AH154,internationallaw,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-internationallaw,"Analyze, evaluate, and compare competing approaches to the nature and function of international law, and consider how contemporary international law might be reformed."
AH,AH154,rights,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-rights,"Identify competing conceptions of rights, analyze arguments in their favor, evaluate competing conceptions of rights, and apply those conceptions to practical legal and social issues."
AH,AH154,constitutions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-constitutions,: Identify competing positions regarding the nature and authority of constitutions and customary law; analyze and evaluate arguments in their favor; and apply these arguments to contemporary constitutional disputes.
AH,AH154,implications,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-implications,"Develop arguments regarding the possible, likely or necessary consequences of a philosophical position."
AH,AH156,historicizeart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-historicizeart,"Historicize art in its political, intellectual, and cultural context."
AH,AH156,artmarkets,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-artmarkets,"Analyze the interactions between various actors (e.g., patrons, clients, fans, artists), art market forces, and artworks."
AH,AH156,socialdynamicsart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-socialdynamicsart,"Analyze how the social dynamics of gender, class, and intercultural relations influence the arts"
AH,AH156,process,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-process,"Deliver work products on time, following all instructions and prompts."
AH,AH156,qualitydeliverables,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-qualitydeliverables,"Submit work products with the scope, depth, and rigor appropriate to the project or setting."
AH,AH156,mediaanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-mediaanalysis,"Analyze elements of visual, musical, literary, multimedia, and/or conceptual art."
AH,AH162,historicalgenres,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historicalgenres,Evaluate the merits of dierent formats and strategies for presenting scholarly and popular interpretations of the past.
AH,AH162,historydeliverables,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historydeliverables,"Synthesize theory and practice to present historical narratives, methods, or perspectives with the scope, depth, and rigor appropriate to the project context."
AH,AH162,historicalethics,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historicalethics,"Analyze, and propose solutions to resolve, ethical problems confronted by historians and in public history contexts."
AH,AH162,historyandpower,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historyandpower,Analyze how dierent interest groups use historical narratives to reinforce or undermine hegemonic power.
AH,AH162,historyandmemory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historyandmemory,"Identify and analyze the relationship between personal and dierent levels of collective memories, and explain how those personal or collective memories are constructed, reinforced, or contested in public discourse."
AH,AH162,historyandidentity,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historyandidentity,Analyze how historical forces and narratives shape and are shaped by individual and collective identity
AH,AH162,publichistory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-publichistory,"Identify and assess the goals, practices, and debates within key subfields of public history (curation, preservationism, documentary filmmaking, activism, etc.)."
AH,AH162,digitalhistory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-digitalhistory,"Identify, apply, and evaluate the benefits and limitations of new digital platforms for finding and analyzing historical sources and communicating historical knowledge."
AH,AH162,historicalarguments,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historicalarguments,"Craft, and evaluate the historiographical contributions of, arguments about the past."
AH,AH162,primarysources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-primarysources,"Locate, contextualize, and close-read historical evidence"
AH,AH162,evidencebased,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-evidencebased,Identify and appropriately structure the information needed to support an argument eectively.
AH,AH164,Assumptions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-Assumptions,"Identify background assumptions in philosophical arguments, and explain or evaluate their significance for the argument."
AH,AH164,CaseAnalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-CaseAnalysis,"EFFectively apply philosophical argument and theory to a case study, use an example to illustrate a theoretical point or devise/evaluate a thought experiment with an appropriate/insightful analogy"
AH,AH164,EmpiricalNormative,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-EmpiricalNormative,Clearly distinguish between empirical from normative claims; Analyze and evaluate the relationship between empirical and normative claims.
AH,AH164,DistinctionsDefinitions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-DistinctionsDefinitions,Define terms clearly and use appropriate distinctions between competing conceptions in analyzing philosophical problems.
AH,AH164,Implications,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-Implications,"Develop arguments regarding the possible, likely or necessary consequences of a philosophical position."
AH,AH164,JustifiedPosition,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-JustifiedPosition,"Articulate a clear and coherent philosophical position, supported by moral or philosophical reasons."
AH,AH164,BoundariesBorders,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-BoundariesBorders,"Analyze and evaluate philosophical arguments that define borders and membership boundaries of political structure, including engaging with questions of secession, immigration restriction and citizenship."
AH,AH164,DemocracyLegitimacy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-DemocracyLegitimacy,"Analyze and evaluate philosophical problems related to democracy and legitimacy, including the right for political participation, collective self-rule, equal citizenship, and institutions for fair decision-making"
AH,AH164,SustainabilityGoals,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-sustainabilitygoals,": Analyze and evaluate ethical problems related to sustainable development, including the justice of social and political institutions given their relationship to non-human animals and the environment."
AH,AH164,Justice,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-Justice,"Analyze and evaluate theories and metrics of justice, including distributive and global justice."
AH,AH164,SocialCategories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-SocialCategories,"Analyze and evaluate moral and political issues arising from social dierence, including race, gender, ethnicity, and social equality"
AH,AH166,expressart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-expressart,"Analyze how works of art can express emotions and thoughts, and how artistic expression compares with expression in ordinary (linguistic and nonlinguistic) human interactions."
AH,AH166,humortheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH165-humortheories,"Analyze various uses of and theories of humor as a mode of artistic communication, and dierentiate among those uses and theories."
AH,AH166,mediumtheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH165-mediumtheories,"Analyze various techniques and theories of artistic medium and performance—including claims about realism, medium-reflexivity, and performativity—and dierentiate among those techniques and theories."
AH,AH166,produceart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-produceart,"Employ various modes and techniques of artistic communication to produce original creative projects. When appropriate, iterate previously completed art projects."
BZ,B110,whyExist,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-whyExist,Identify why a given company exists and analyze its competitive advantage. Use these insights to evaluate business strategy and execution.
BZ,B110,customerCentricity,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-customerCentricity,Identify customer needs and explain how their fulfillment leads to better business.
BZ,B110,consumerBehavior,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-consumerBehavior,Design studies and evaluate research in consumer behavior.
BZ,B110,marketAnalytics,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-marketAnalytics,Utilize analytical techniques and apply statistical analyses to market research questions.
BZ,B110,aboveTheRevenueLine,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-aboveTheRevenueLine,Explain how financial performance can be linked to eective marketing strategy
BZ,B110,researchStrategy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-researchStrategy,Assess the role of market research and consumer psychology in decision-making and strategy formation.
BZ,B111,financials,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-financials,Use accounting and financial information to evaluate business situations.
BZ,B111,valuation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-valuation,Calculate the value of a financial asset
BZ,B111,bizfunctions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-bizfunctions,"Analyze how improved operating, marketing, or other business functions can enhance financial performance."
BZ,B111,bizrisk,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-bizrisk,Analyze business risk and ways to manage
BZ,B111,bizstrategy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-bizstrategy,Formulate and analyze business strategy.
BZ,B112,flatWorld,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-flatWorld,Evaluate the “flat-world” debate and apply it to business strategy issues
BZ,B112,whyGlobal,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-whyGlobal,Explain and evaluate the motivations for why a business exists in the global marketplace.
BZ,B112,howGlobal,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-howGlobal,"Analyze the utility, costs, and implementation of global value chains."
BZ,B112,poliStrat,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-poliStrat,Analyze how political and legal environments influence business strategy.
BZ,B112,econStrat,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-econStrat,Analyze how economic and financial environments influence business strategy.
BZ,B112,socioCulturalStrat,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-socioCulturalStrat,Analyze how social and cultural environments influence business strategy.
BZ,B112,globalSegmentation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-globalSegmentation,Utilize segmentation strategies to identify new global markets.
BZ,B112,intCompetitiveness,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-intCompetitiveness,Analyze the factors influencing a firm’s international competitiveness.
BZ,B112,localGlobalMix,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-localGlobalMix,Analyze the interaction between global and local considerations when developing the marketing mix.
BZ,B113,HumansInOrgs,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B113-HumansInOrgs,Analyze the success (or failure) of a firm at the level of individuals and teams.
BZ,B113,BizUnit,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B113-BizUnit,Explain the role and function of departments as part of the internal value stream.
BZ,B113,OrgStructure,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B113-OrgStructure,Analyze and apply organizational design principles.
BZ,B113,ProcessSystem,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B113-ProcessSystem,Dierentiate eective and eicient processes and control systems
BZ,B113,StrategicAlignment,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B113-StrategicAlignment,Align organizational strategy with structures and processes.
BZ,B113,Ecosystem,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B113-Ecosystem,Identify organizational issues that arise at the system level.
BZ,B113,OrgRisk,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B113-OrgRisk,Analyze operational and financial risks that emanate from organizational design.
BZ,B144,inspiration,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B144-inspiration,"conduct market research from multiple points of view (e.g. user-centered, product-centered, customer-centered) combining rational analysis with intuitive and associative inquiry to gather insights and needs"
BZ,B144,ideation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B144-ideation,"ideate new concepts based on market needs; develop, cluster, and select dierent ideas for potential solutions"
BZ,B144,implementation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B144-implementation,"conduct usability testing for feedback with the aim of improving the idea, and convert ideas into tangible concrete solutions"
BZ,B144,impact,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B144-impact,apply appropriate analytics and benchmarks to define and determine idea/solution impact and success
BZ,B145,enCulture,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-enCulture,Analyze the dynamics of innovation and entrepreneurial culture from the perspective of entrepreneurs and investors
BZ,B145,marketsAndCompanies,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-marketsAndCompanies,Explain the relationship between the capital markets and private companies.
BZ,B145,startupScarcity,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-startupScarcity,Evaluate dierent strategies for leveraging scarce human and financial capital.
BZ,B145,corpStructure,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-corpStructure,Analyze the dierent forms of corporate structure and their comparative advantages in forming a new venture.
BZ,B145,retention,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-retention,Investigate the means by which founders and key employees are retained by startups.
BZ,B145,securities,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-securities,Evaluate the dierent securities issued by early-stage companies in raising capital.
BZ,B145,bzPlanCapReq,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-bzPlanCapReq,Analyze the strategic relationship between the business plan and capital requirements.
BZ,B145,termSheet,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-termSheet,Explain the importance of the term sheet and how it is negotiated.
BZ,B145,vcInvestors,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-vcInvestors,Explain the dierent types of venture capital investors and their investment parameters.
BZ,B145,valuation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B145-valuation,"Analyze dierent approaches to valuing startup companies, including comparable company metrics, dcf, option pricing theory, and the VC method."
BZ,B146,successFactors,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B146-successFactors,Identify and evaluate the operational factors that led to business success.
BZ,B146,bizModel,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B146-bizModel,"Analyze business models along financial, organizational, and societal dimensions"
BZ,B146,pitfalls,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B146-pitfalls,Evaluate early stage pitfalls and judgment errors.
BZ,B146,planningProcess,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B146-planningProcess,Apply lean startup and traditional business planning processes to startup organizations.
BZ,B146,reduceComplexity,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B146-reduceComplexity,Analyze and reduce complexity in order to set priorities and to preserve resources during the startup phase.
BZ,B146,opsApplicability,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B146-opsApplicability,Identify and correctly apply ops concepts in the context of business ideas.
BZ,B146,uncertainty,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B146-uncertainty,Explain how to plan daily operations in the presence of uncertainty
BZ,B146,competitiveAdvantage,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B146-competitiveAdvantage,"Create a competitive advantage using operations principles while considering cost/benefit trade-os, business potential, and scalability."
